Object,RA,DEC,Class
A 0051-1323,00 53 30.30,-13 06 44.88,PRG
A 0103-3044,01 06 10.29,-30 28 26.98,PRG
A 0113-5442,01 15 28.7,-54 26 53,PRG
A 0136-0801,01 38 55.2,-07 45 56,PRG
A 0153-3034,01 55 24.12,-30 19 24.09,PRG
A 0323-0430,03 25 56.40,-04 19 57.12,PRG
A 0336-4905,03 37 57.6,-48 55 40,PRG
A 0351-5458,03 52 49.3,-54 49 50,PRG
A 0358-1707,04 00 45.76,-16 58 37.21,PRG
A 0414-4756,04 16 18.68,-47 49 10.81,PRG
A 0618-3633,06 20 07.29,-36 34 37.71,PRG
A 0950-2234,09 52 53.9,-22 48 34,PRG
A 1123-232,11 25 58.41,-23 42 21.65,PRG
A 1256-1710,12 58 43.5,-17 26 49,PRG
A 1334-2935,13 37 29.34,-29 50 25.39,PRG
A 1356-2618,13 58 54.98,-26 32 45.54,PRG
A 1837-6317,18 41 54.83,-63 13 24.04,PRG
A 2015-7111,20 20 20.34,-71 00 26.16,PRG
A 2027-2335,20 30 27.38,-23 25 20.65,PRG
A 2040-6210,20 44 11.65,-61 59 17.90,PRG
A 2102-2345,21 05 40.14,-23 33 04.74,PRG
A 2104-2536,21 07 24.40,-25 24 44.63,PRG
A 2111-5509,21 15 08.55,-54 56 46.73,PRG
A 2116-7233,21 20 56.19,-72 20 17.46,PRG
A 2132-2742,21 34 59.88,-27 28 46.57,PRG
A 2135-2132,21 38 20.0,-21 19 06,PRG
A 2150-1707,21 53 05.53,-16 53 35.37,PRG
A 2220-6617,22 24 14.16,-66 02 12.79,PRG
A 2225-5838,22 29 19.42,-58 24 41.05,PRG
A 2226-2459,22 28 53.81,-24 43 43.12,PRG
A 2246-4909,22 49 49.82,-48 53 03.65,PRG
A 2304-3308,23 06 59.25,-32 52 31.04,PRG
A 2329-4102,23 31 54.6,-40 45 44,PRG
A 2330-3751,23 32 41.9,-37 34 32,PRG
A 2333-1637,23 35 57.5,-16 39 19,PRG
A 2349-3927,23 51 41.4,-39 10 30,PRG
A 2350-4042,23 53 20.2,-40 25 52,PRG
A 2358-2604,00 01 15.79,-25 48 07.67,PRG
AM 0009-371,00 11 36.80,-36 56 10.75,PRG
AM 0012-573,00 15 16.4100,-57 14 40.800,PRG
AM 0016-575,00 19 09.3000,-57 38 29.600,PRG
AM 0034-351,00 37 04.6600,-34 56 24.400,PRG
AM 0035-335,00 37 41.1100,-33 42 58.800,PRG
AM 0036-391,00 36 18,-39 14.4,PRG
AM 0041-390,00 43 25.3800,-38 45 25.700,PRG
AM 0042-563,00 44 59.1400,-56 22 47.900,PRG
AM 0044-243,00 47 07.5300,-24 22 14.500,PRG
AM 0044-521,00 47 01.40,-52 03 03.02,PRG
AM 0045-230,00 47 34.61,-22 47 59.24,PRG
AM 0045-314,00 47 27.6100,-31 25 18.300,PRG
AM 0051-234,00 54 20.36,-23 33 07.03,PRG
AM 0051-271,00 53 59.57,-27 08 33.35,PRG
AM 0051-272,00 53 59.1525,-27 08 36.820,PRG
AM 0053-353,00 56 19.5500,-35 14 52.200,PRG
AM 0054-634,00 56 48.4000,-63 29 05.000,PRG
AM 0058-220,01 00 47.4000,-21 43 25.000,PRG
AM 0058-311,01 00 44.6000,-30 55 49.100,PRG
AM 0058-665,01 00 15.2300,-66 37 06.600,PRG
AM 0102-610,01 04 56.3180,-60 48 58.583,PRG
AM 0103-304,01 06 10.3300,-30 28 29.300,PRG
AM 0106-472,01 08 22.8545,-47 05 54.329,PRG
AM 0113-324,01 15 53.9200,-32 28 38.900,PRG
AM 0115-463,01 18 10.1300,-46 14 32.400,PRG
AM 0117-520,01 19 28.4400,-51 46 47.700,PRG
AM 0119-340,01 21 17.4100,-33 50 23.000,PRG
AM 0126-525,01 28 25.3300,-52 38 09.300,PRG
AM 0126-680,01 28 02.9300,-67 50 36.600,PRG
AM 0131-434,01 31 31,-43 49.7,PRG
AM 0141-362,01 43 44.3900,-36 05 19.800,PRG
AM 0144-583,01 46 34.0400,-58 15 29.800,PRG
AM 0146-321,01 49 04.5800,-31 59 46.800,PRG
AM 0147-350,01 49 43.7000,-34 49 51.900,PRG
AM 0147-561,01 49 27.9500,-56 03 12.200,PRG
AM 0154-353,01 57 09.0000,-35 18 48.400,PRG
AM 0155-815,01 52 41.9400,-81 37 52.000,PRG
AM 0157-311,01 59 39.5300,-31 01 13.100,PRG
AM 0200-581,02 01 50.6300,-57 56 54.100,PRG
AM 0203-325,02 05 46.3400,-32 40 35.200,PRG
AM 0207-374,02 09 44.2548,-37 33 04.928,PRG
AM 0212-250,02 14 49.07,-24 51 01.67,PRG
AM 0215-485,02 17 16.4200,-48 42 48.100,PRG
AM 0226-320,02 28 20.1100,-31 52 51.700,PRG
AM 0227-484,02 29 16.1100,-48 29 28.500,PRG
AM 0229-444,02 31 38.7900,-44 31 27.500,PRG
AM 0230-581,02 31 36.6700,-58 01 00.300,PRG
AM 0236-273,02 39 03.5500,-27 26 35.300,PRG
AM 0236-310,02 38 45.1500,-30 48 23.400,PRG
AM 0240-242,02 42 32.1500,-24 13 51.500,PRG
AM 0241-424,02 43 16.6662,-42 34 24.562,PRG
AM 0302-273,03 02 59,-27 31.8,PRG
AM 0302-504,03 03 23.74,-50 29 52.72,PRG
AM 0304-255,03 06 45.3600,-25 42 59.200,PRG
AM 0305-824,03 01 44.9600,-82 35 30.800,PRG
AM 0310-252,03 12 13.3545,-25 12 10.413,PRG
AM 0318-610,03 19 37.5700,-60 57 00.500,PRG
AM 0319-542,03 20 39.2858,-54 17 39.406,PRG
AM 0320-495,03 21 55.77,-49 48 01.38,PRG
AM 0322-374,03 23 54.2112,-37 30 33.026,PRG
AM 0329-715,03 29 43.6800,-71 45 25.400,PRG
AM 0330-324,03 32 49.2900,-32 40 07.300,PRG
AM 0332-305,03 34 16.8000,-30 43 57.100,PRG
AM 0332-324,03 34 57.28,-32 38 25.03,PRG
AM 0334-460,03 36 36.8700,-45 57 21.600,PRG
AM 0339-625,03 40 39.4000,-62 46 44.000,PRG
AM 0341-360,03 43 37.0800,-35 51 10.900,PRG
AM 0343-383,03 45 02.0800,-38 22 56.600,PRG
AM 0345-335,03 47 04.8100,-33 42 35.500,PRG
AM 0346-570,03 47 42.8400,-56 57 07.500,PRG
AM 0352-360,03 54 28.4500,-35 58 01.700,PRG
AM 0401-641,04 01 42.8200,-64 05 45.100,PRG
AM 0403-555,04 04 16.7000,-55 46 08.000,PRG
AM 0403-702,04 03 03.6100,-70 14 37.900,PRG
AM 0404-271,04 06 29.0100,-27 09 20.500,PRG
AM 0411-575,04 12 43.2500,-57 44 16.700,PRG
AM 0411-680,04 11 20.21,-67 55 15.40,PRG
AM 0412-525,04 13 50.63,-52 47 42.15,PRG
AM 0413-380,04 15 27.0000,-38 01 10.000,PRG
AM 0413-590,04 14 27.0845,-58 57 56.571,PRG
AM 0414-491,04 16 08.1137,-49 11 20.203,PRG
AM 0415-475,04 16 30.0600,-47 50 55.600,PRG
AM 0417-391,04 19 39.3653,-39 10 24.025,PRG
AM 0420-440,04 22 12.8400,-43 58 17.600,PRG
AM 0422-473,04 24 21.0100,-47 31 35.500,PRG
AM 0425-421,04 26 40.8000,-42 05 39.000,PRG
AM 0426-484,04 28 02.2000,-48 43 02.000,PRG
AM 0428-450,04 30 21.2900,-45 01 35.200,PRG
AM 0432-625,04 32 33.7200,-62 51 48.000,PRG
AM 0433-393,04 35 29.1200,-39 30 57.500,PRG
AM 0436-342,04 38 44.4600,-34 15 13.700,PRG
AM 0436-472,04 37 45.82,-47 15 10.52,PRG
AM 0437-314,04 39 40.3465,-31 42 39.460,PRG
AM 0437-644,04 37 55.0900,-64 38 59.300,PRG
AM 0438-503,04 39 22.2000,-50 31 47.000,PRG
AM 0438-530,04 38 38.34,-53 03 20.49,PRG
AM 0438-661,04 38 39.5400,-66 13 57.400,PRG
AM 0439-373,04 40 59.5600,-37 34 10.600,PRG
AM 0442-622,04 43 07.6,-62 19 42,PRG
AM 0445-525,04 46 12.2700,-52 54 48.700,PRG
AM 0445-635,04 45 39.7773,-63 47 52.499,PRG
AM 0452-594,04 52 52.1500,-59 44 32.100,PRG
AM 0455-465,04 57 01.7004,-46 45 02.988,PRG
AM 0507-512,05 08 28.2600,-51 21 28.900,PRG
AM 0509-290,05 11 22.5400,-28 59 31.700,PRG
AM 0517-621,05 18 14.6500,-62 12 17.100,PRG
AM 0520-390,05 22 42.6100,-39 03 47.700,PRG
AM 0521-385,05 23 00.4700,-38 52 13.500,PRG
AM 0521-434,05 22 30.6100,-43 46 16.300,PRG
AM 0529-442,05 31 09.79,-44 25 51.74,PRG
AM 0530-421,05 31 40.8700,-42 09 54.500,PRG
AM 0544-393,05 45 51.0700,-39 29 39.300,PRG
AM 0545-355,05 47 22.2100,-35 49 31.800,PRG
AM 0545-434,05 47 01.4000,-43 44 36.000,PRG
AM 0547-471,05 49 03.9500,-47 10 01.400,PRG
AM 0548-330,05 49 53.3800,-33 01 41.400,PRG
AM 0552-462,05 53 56.7000,-46 28 40.400,PRG
AM 0602-575,06 00 21.4400,-57 56 21.300,PRG
AM 0608-752,06 06 52.07,-75 21 51.68,PRG
AM 0609-323,06 10 59.4200,-32 34 07.600,PRG
AM 0611-430,06 13 03.9200,-43 10 34.300,PRG
AM 0623-371,06 24 48.8,-37 21 21,PRG
AM 0625-252,06 27 02.0000,-25 22 50.000,PRG
AM 0628-632,06 28 57.9000,-63 29 39.700,PRG
AM 0634-292,06 34 22,-29 27.8,PRG
AM 0642-645,06 42 33.3700,-64 59 24.500,PRG
AM 0642-801,06 38 33.6447,-80 14 52.407,PRG
AM 0643-462,06 45 03.4800,-46 26 56.200,PRG
AM 0644-741,06 43 06.1000,-74 13 35.000,PRG
AM 0656-745,06 55 28.7700,-75 02 06.300,PRG
AM 0657-393,06 58 56.0956,-39 42 11.313,PRG
AM 0712-513,07 13 18.9000,-51 42 48.000,PRG
AM 0719-625,07 19 57.3100,-63 04 01.300,PRG
AM 0755-785,07 53 31.2900,-79 06 28.040,PRG
AM 0814-760,08 13 31.6500,-76 17 29.200,PRG
AM 0827-845,08 19 22.1400,-85 08 35.900,PRG
AM 0828-844,08 20 30.4100,-84 58 35.900,PRG
AM 0858-730,08 58 39.5700,-73 19 36.700,PRG
AM 0931-324,09 33 21.5100,-33 02 00.600,PRG
AM 0957-335,10 00 05.4000,-34 13 41.800,PRG
AM 1003-215,10 05 43.4000,-22 05 49.000,PRG
AM 1006-380,10 09 06.9977,-38 24 04.149,PRG
AM 1008-392,10 11 02.1600,-39 41 36.500,PRG
AM 1011-284,10 14 11.4600,-28 56 31.300,PRG
AM 1013-271,10 15 23.3867,-27 25 15.506,PRG
AM 1024-234,10 26 56.2900,-24 05 21.200,PRG
AM 1025-370,10 27 13.8000,-37 25 17.000,PRG
AM 1035-260,10 37 29.06,-26 19 00.14,PRG
AM 1036-300,10 39 14.1525,-30 17 44.989,PRG
AM 1045-245,10 48 23.4600,-25 09 43.400,PRG
AM 1054-325,10 56 58.10,-33 09 56.50,PRG
AM 1057-282,11 00 22.8100,-28 45 44.700,PRG
AM 1101-354,11 03 29.2000,-36 04 23.200,PRG
AM 1110-251,11 12 58.0996,-25 35 14.235,PRG
AM 1116-274,11 18 35.2900,-27 59 58.600,PRG
AM 1118-425,11 20 48.0100,-43 15 50.400,PRG
AM 1125-285,11 27 32.4700,-29 10 40.200,PRG
AM 1132-324,11 35 20.4200,-33 02 03.300,PRG
AM 1133-245,11 35 30.9400,-25 08 42.100,PRG
AM 1135-284,11 37 42.3700,-29 05 00.400,PRG
AM 1142-272,11 44 58.9800,-27 41 27.100,PRG
AM 1152-421,11 55 21.7700,-42 29 16.700,PRG
AM 1159-530,12 01 36.1800,-53 21 27.500,PRG
AM 1203-275,12 06 28.7000,-28 11 07.000,PRG
AM 1205-300,12 07 57.4100,-30 20 22.100,PRG
AM 1205-460,12 08 12.6000,-46 18 10.000,PRG
AM 1220-445,12 23 26.7000,-45 11 50.000,PRG
AM 1231-345,12 33 48.4000,-35 06 53.200,PRG
AM 1233-424,12 35 58.4200,-43 01 02.200,PRG
AM 1235-432,12 37 43.7900,-43 37 16.100,PRG
AM 1238-362,12 40 49.5000,-36 44 38.000,PRG
AM 1241-402,12 44 48.81,-40 42 49.55,PRG
AM 1247-253,12 50 02.3200,-25 55 14.500,PRG
AM 1249-462,12 52 39.0500,-46 38 58.900,PRG
AM 1251-283,12 54 42.8000,-28 52 07.000,PRG
AM 1257-222,13 00 22.03,-22 41 39.95,PRG
AM 1258-352,13 01 05.4000,-35 36 59.600,PRG
AM 1300-412,13 03 00.4200,-41 42 15.400,PRG
AM 1303-235,13 06 24.0000,-24 09 50.600,PRG
AM 1307-461,13 10 04.4300,-46 26 14.400,PRG
AM 1308-253,13 11 08.8800,-25 53 58.600,PRG
AM 1311-373,13 14 03.6000,-37 47 48.900,PRG
AM 1312-222,13 15 41.3029,-22 44 18.377,PRG
AM 1316-241,13 19 31.83,-24 29 01.38,PRG
AM 1318-432,13 21 17.30,-43 43 09.49,PRG
AM 1320-265,13 23 05.9400,-27 12 25.000,PRG
AM 1321-375,13 24 48.6400,-38 06 46.900,PRG
AM 1323-222,13 26 20.4759,-22 37 53.333,PRG
AM 1323-293,13 26 47.2200,-29 52 52.900,PRG
AM 1324-250,13 27 23.3193,-25 23 32.628,PRG
AM 1325-251,13 27 58.2100,-25 31 48.600,PRG
AM 1325-292,13 27 51.15,-29 37 07.81,PRG
AM 1332-300,13 35 50.3858,-30 24 25.506,PRG
AM 1338-232,13 40 55.9775,-23 36 09.308,PRG
AM 1340-254,13 43 21.8300,-25 55 56.400,PRG
AM 1344-215,13 47 10.3440,-22 07 01.960,PRG
AM 1352-263,13 55 04.32,-26 46 54.01,PRG
AM 1352-280,13 54 54.6400,-28 22 08.600,PRG
AM 1354-250,13 57 13.9200,-25 14 44.900,PRG
AM 1354-265,13 57 21.9500,-27 10 22.100,PRG
AM 1358-221,14 01 25.8170,-22 34 19.615,PRG
AM 1408-364,14 11 43.1200,-37 01 11.200,PRG
AM 1413-243,14 16 09.5200,-24 50 31.000,PRG
AM 1414-235,14 17 39.4300,-24 11 00.300,PRG
AM 1434-783,14 40 27.9600,-78 48 33.200,PRG
AM 1440-365,14 40 41,-36 54.3,PRG
AM 1444-221,14 47 03.0139,-22 32 07.864,PRG
AM 1451-304,14 55 38.92,-25 37 57.16,PRG
AM 1452-234,14 55 09.8600,-23 58 10.000,PRG
AM 1452-252,14 55 38.9200,-25 37 57.160,PRG
AM 1457-403,15 00 34.1600,-40 48 36.600,PRG
AM 1514-362,15 17 54.8000,-36 34 09.000,PRG
AM 1535-680,15 40 28.5240,-68 08 38.170,PRG
AM 1627-824,16 35 57.0200,-82 50 17.600,PRG
AM 1646-795,16 54 40.0000,-80 04 03.000,PRG
AM 1654-782,17 02 01.2600,-78 27 16.200,PRG
AM 1724-622,17 29 17.5096,-62 27 49.105,PRG
AM 1803-510,18 07 15.9600,-51 01 10.700,PRG
AM 1806-852,18 22 40.82,-85 24 26.81,PRG
AM 1817-772,18 25 46.4600,-77 23 17.800,PRG
AM 1827-625,18 32 02.7000,-62 55 44.000,PRG
AM 1845-785,18 54 40.3000,-78 53 54.200,PRG
AM 1854-490,18 58 06.7700,-49 00 40.700,PRG
AM 1934-563,19 38 38.4,-56 27 29,PRG
AM 1939-515,19 43 14.5500,-51 48 27.000,PRG
AM 1947-445,19 51 23.4570,-44 51 37.587,PRG
AM 1953-260,19 56 28.0000,-25 54 55.280,PRG
AM 1957-394,20 00 35.8800,-39 38 57.700,PRG
AM 2001-602,20 06 11.7000,-60 12 41.800,PRG
AM 2002-563,20 06 49.9100,-56 23 23.700,PRG
AM 2005-282,20 08 39.2200,-28 16 12.600,PRG
AM 2006-564,20 12 30.5000,-56 49 55.000,PRG
AM 2008-543,20 12 23.6900,-54 21 37.000,PRG
AM 2012-282,20 15 13.9600,-28 18 25.100,PRG
AM 2020-504,20 23 54.9300,-50 39 06.600,PRG
AM 2021-724,20 26 31.4000,-72 36 26.000,PRG
AM 2024-544,20 27 54.0900,-54 37 59.200,PRG
AM 2026-225,20 29 09.50,-22 34 30.82,PRG
AM 2026-424,20 29 32.4500,-42 30 23.000,PRG
AM 2033-260,20 36 23.2495,-25 57 08.939,PRG
AM 2034-483,20 38 08.3000,-48 23 04.000,PRG
AM 2035-411,20 38 52.73,-41 06 51.98,PRG
AM 2036-734,20 42 08.5800,-73 37 09.700,PRG
AM 2038-323,20 41 15.1200,-32 29 11.100,PRG
AM 2044-691,20 48 56.8500,-69 05 31.200,PRG
AM 2046-255,20 49 47.2400,-25 41 55.300,PRG
AM 2048-440,20 51 50.9800,-43 53 35.800,PRG
AM 2048-711,20 53 36.2100,-71 08 28.400,PRG
AM 2049-522,20 52 38.3200,-52 13 45.200,PRG
AM 2052-260,20 55 19.4232,-25 53 42.486,PRG
AM 2052-440,20 55 53.4100,-43 48 48.400,PRG
AM 2055-425,20 58 26.60,-42 38 59.84,PRG
AM 2056-392,21 00 07.8447,-39 17 57.721,PRG
AM 2100-725,21 05 38.6900,-72 47 09.000,PRG
AM 2102-252,21 05 43.8600,-25 14 16.200,PRG
AM 2104-241,21 07 08.8500,-24 02 39.900,PRG
AM 2106-624,21 10 07.04,-62 35 54.33,PRG
AM 2106-641,21 11 37.0200,-64 01 50.200,PRG
AM 2107-474,21 10 31.2000,-47 30 31.900,PRG
